Joint,Length,Type,Stand,Weight/Foot
110,31.5,4 1/2 IF,37,20
111,32,4 1/2 IF,37,20
112,31.6,4 1/2 IF,38,20
113,32,4 1/2 IF,38,20
114,31.8,4 1/2 IF,38,20
115,31.6,4 1/2 IF,39,20
116,31.9,4 1/2 IF,39,20
117,32.5,4 1/2 IF,39,20
118,31,4 1/2 IF,40,20
119,32.1,4 1/2 IF,40,20
120,31.6,4 1/2 IF,40,20
121,32.5,4 1/2 IF,41,20
122,31.8,4 1/2 IF,41,20
123,31,4 1/2 IF,41,20
124,32.5,4 1/2 IF,42,20
125,32.2,4 1/2 IF,42,20
126,32.5,4 1/2 IF,42,20
127,31.2,4 1/2 IF,43,20
128,32.4,4 1/2 IF,43,20
129,32.5,4 1/2 IF,43,20
130,31.5,4 1/2 IF,44,20
131,31,4 1/2 IF,44,20
132,31.3,4 1/2 IF,44,20
133,31.3,4 1/2 IF,45,20
134,32.5,4 1/2 IF,45,20
135,32.3,4 1/2 IF,45,20
136,31.5,4 1/2 IF,46,20
137,31,4 1/2 IF,46,20
138,31.1,4 1/2 IF,46,20
139,31.2,4 1/2 IF,47,20
140,31.5,4 1/2 IF,47,20
141,31.4,4 1/2 IF,47,20
142,32.5,4 1/2 IF,48,20
143,31.5,4 1/2 IF,48,20
144,31.1,4 1/2 IF,48,20
145,31.4,4 1/2 IF,49,20
146,32.3,4 1/2 IF,49,20
147,31.7,4 1/2 IF,49,20
148,32.1,4 1/2 IF,50,20
149,31.6,4 1/2 IF,50,20
150,31.1,4 1/2 IF,50,20
151,32.1,4 1/2 IF,51,20
152,32.3,4 1/2 IF,51,20
153,31.7,4 1/2 IF,51,20
154,31.9,4 1/2 IF,52,20
155,32.3,4 1/2 IF,52,20
156,31.8,4 1/2 IF,52,20
157,31.6,4 1/2 IF,53,20
158,31.7,4 1/2 IF,53,20
159,32.5,TT-485,53,43.31
160,31.7,TT-485,54,43.31
161,31.9,TT-485,54,43.31
162,32,TT-485,54,43.31
163,31.3,TT-485,55,43.31
164,31.3,TT-485,55,43.31
165,31.8,TT-485,55,43.31
166,31.7,TT-485,56,43.31
167,32.1,TT-485,56,43.31
168,31.3,TT-485,56,43.31
169,31.7,TT-485,57,43.31
170,31.7,TT-485,57,43.31
171,31.8,TT-485,57,43.31
172,32.1,TT-485,58,43.31
173,31.5,TT-485,58,43.31
174,31.8,TT-485,58,43.31
175,31.6,TT-485,59,43.31
176,31.2,TT-485,59,43.31
177,31.7,TT-485,59,43.31
178,32,TT-485,60,43.31
179,31.3,TT-485,60,43.31
180,31,TT-485,60,43.31
181,31.7,TT-485,61,43.31
182,31.5,TT-485,61,43.31
183,31,TT-485,61,43.31
184,31.8,TT-485,62,43.31
185,32.3,TT-485,62,43.31
186,31.5,TT-485,62,43.31
187,31.6,TT-485,63,43.31
188,31.6,TT-485,63,43.31
189,31.8,TT-485,63,43.31
190,32.4,TT-485,64,43.31
191,32.5,TT-485,64,43.31
192,32.2,TT-485,64,43.31
193,32,TT-485,65,43.31
194,31.6,TT-485,65,43.31
195,31.9,TT-485,65,43.31
196,32.4,TT-485,66,43.31
197,32.4,TT-485,66,43.31
198,31.6,TT-485,66,43.31
199,32.2,TT-485,67,43.31
200,31.9,TT-485,67,43.31
201,31.7,TT-485,67,43.31
202,32.5,TT-485,68,43.31
203,31.4,TT-485,68,43.31
204,31.1,TT-485,68,43.31
205,32.1,TT-485,69,43.31
206,31.3,TT-485,69,43.31
207,31.8,TT-485,69,43.31
208,32.5,TT-485,70,43.31
209,31,TT-485,70,43.31
210,32.3,TT-485,70,43.31
211,31.3,TT-485,71,43.31
212,31.6,TT-485,71,43.31
213,31.4,TT-485,71,43.31
214,31.2,TT-485,72,43.31
215,32.5,TT-485,72,43.31
216,31.6,TT-485,72,43.31
217,32.4,TT-485,73,43.31
218,32.1,TT-485,73,43.31
219,31.5,TT-485,73,43.31
220,31,TT-485,74,43.31
221,31.9,TT-485,74,43.31
222,31.6,TT-485,74,43.31
223,31.7,TT-485,75,43.31
224,32.2,TT-485,75,43.31
225,31.1,TT-485,75,43.31
226,32.3,4 1/2 IF,76,20
227,32.1,4 1/2 IF,76,20
228,31.8,4 1/2 IF,76,20
229,32.3,4 1/2 IF,77,20
230,32,4 1/2 IF,77,20
231,31.4,4 1/2 IF,77,20
232,31.3,4 1/2 IF,78,20
233,32.4,4 1/2 IF,78,20
234,32.1,4 1/2 IF,78,20
235,32.5,4 1/2 IF,79,20
236,31.1,4 1/2 IF,79,20
237,32.1,4 1/2 IF,79,20
238,31.7,4 1/2 IF,80,20
239,31.1,4 1/2 IF,80,20
240,31.7,4 1/2 IF,80,20
241,31.9,4 1/2 IF,81,20
242,31.5,4 1/2 IF,81,20
243,31.6,4 1/2 IF,81,20
244,31.1,4 1/2 IF,82,20
245,31.3,4 1/2 IF,82,20
246,31.1,4 1/2 IF,82,20
247,31.5,4 1/2 IF,83,20
248,31.6,4 1/2 IF,83,20
249,32.1,4 1/2 IF,83,20
250,31.2,4 1/2 IF,84,20
251,31.5,4 1/2 IF,84,20
252,32.4,4 1/2 IF,84,20
253,31.2,4 1/2 IF,85,20
254,31.2,4 1/2 IF,85,20
255,31.9,4 1/2 IF,85,20
256,31,4 1/2 IF,86,20
257,32.3,4 1/2 IF,86,20
258,31.9,4 1/2 IF,86,20
259,31.1,4 1/2 IF,87,20
260,32.3,4 1/2 IF,87,20
261,31.4,4 1/2 IF,87,20
262,32.2,4 1/2 IF,88,20
263,31.4,4 1/2 IF,88,20
264,31.1,4 1/2 IF,88,20
265,31.7,4 1/2 IF,89,20
266,31.6,4 1/2 IF,89,20
267,31.7,4 1/2 IF,89,20
268,31.2,4 1/2 IF,90,20
269,31.2,4 1/2 IF,90,20
270,31.9,4 1/2 IF,90,20
271,31,4 1/2 IF,91,20
272,31.7,4 1/2 IF,91,20
273,32.5,4 1/2 IF,91,20
274,31.9,4 1/2 IF,92,20
275,31.6,4 1/2 IF,92,20
276,32,4 1/2 IF,92,20
277,31,4 1/2 IF,93,20
278,32.1,4 1/2 IF,93,20
279,32.4,4 1/2 IF,93,20
280,31.9,4 1/2 IF,94,20
281,31.9,4 1/2 IF,94,20
282,31.1,4 1/2 IF,94,20
283,31.5,4 1/2 IF,95,20
284,31.9,4 1/2 IF,95,20
285,31.5,4 1/2 IF,95,20
286,31.9,4 1/2 IF,96,20
287,31.8,4 1/2 IF,96,20
288,31.3,4 1/2 IF,96,20
289,31.5,4 1/2 IF,97,20
290,31.6,4 1/2 IF,97,20
291,31.3,4 1/2 IF,97,20
292,31.9,4 1/2 IF,98,20
293,31.9,4 1/2 IF,98,20
294,32.3,4 1/2 IF,98,20
295,31.9,4 1/2 IF,99,20
296,31.8,4 1/2 IF,99,20
297,31.3,4 1/2 IF,99,20
298,31.5,4 1/2 IF,100,20
299,32.2,4 1/2 IF,100,20
300,32.1,4 1/2 IF,100,20
301,31.6,4 1/2 IF,101,20
302,31.2,4 1/2 IF,101,20
303,31,4 1/2 IF,101,20
304,31.7,4 1/2 IF,102,20
305,32.4,4 1/2 IF,102,20
306,31.1,4 1/2 IF,102,20
307,31.6,4 1/2 IF,103,20
308,32.4,4 1/2 IF,103,20
309,32.5,4 1/2 IF,103,20
310,31.6,4 1/2 IF,104,20
311,31.2,4 1/2 IF,104,20
312,32.2,4 1/2 IF,104,20
313,31.2,4 1/2 IF,105,20
314,31.7,4 1/2 IF,105,20
315,32.3,4 1/2 IF,105,20
316,32.5,4 1/2 IF,106,20
317,32,4 1/2 IF,106,20
318,31,4 1/2 IF,106,20
319,32.4,4 1/2 IF,107,20
320,31.8,4 1/2 IF,107,20
321,31.9,4 1/2 IF,107,20
322,31.1,4 1/2 IF,108,20
323,31.2,4 1/2 IF,108,20
324,31.4,4 1/2 IF,108,20
325,32.4,4 1/2 IF,109,20
326,32.4,4 1/2 IF,109,20
327,32.4,4 1/2 IF,109,20
328,32.5,4 1/2 IF,110,20
329,31.5,4 1/2 IF,110,20
330,32.3,4 1/2 IF,110,20
331,31.7,4 1/2 IF,111,20
332,32,4 1/2 IF,111,20
333,32.2,4 1/2 IF,111,20
334,31.4,4 1/2 IF,112,20
335,31.6,4 1/2 IF,112,20
336,31.2,4 1/2 IF,112,20
337,32.2,4 1/2 IF,113,20
338,31.2,4 1/2 IF,113,20
339,32.4,4 1/2 IF,113,20
340,31.1,4 1/2 IF,114,20
341,31.5,4 1/2 IF,114,20
342,31.3,4 1/2 IF,114,20
343,32.1,4 1/2 IF,115,20
344,31.5,4 1/2 IF,115,20
345,31.8,4 1/2 IF,115,20
346,31.7,4 1/2 IF,116,20
347,31,4 1/2 IF,116,20
348,31.3,4 1/2 IF,116,20
349,31.9,4 1/2 IF,117,20
